MJD,HA,VisRatio,PhaseDiff
59871.289,-0.73043495,0.71017,-40.4425
59871.289,-0.72124332,0.771451,-40.4358
59871.29,-0.71121609,0.777423,-40.2233
59871.29,-0.70202416,0.746355,-39.8041
59871.29,-0.69199693,0.719295,-41.0901
59871.291,-0.682805,0.714886,-40.1027
59871.291,-0.67361337,0.728488,-40.0853
59871.292,-0.66358578,0.796354,-39.688
59871.292,-0.65439415,0.724842,-39.2762
59871.292,-0.64436692,0.705429,-39.0048
59871.293,-0.63517499,0.72551,-41.2054
59871.293,-0.62598336,0.751167,-39.4418
59871.294,-0.61595583,0.735692,-40.4642
59871.294,-0.6067642,0.788723,-40.0147
59871.294,-0.59673667,0.826649,-39.9643
59871.295,-0.58754498,0.814256,-39.957
59871.295,-0.57751775,0.812154,-41.3012
59871.296,-0.56832582,0.820259,-40.4534
59871.296,-0.55913419,0.810411,-39.3956
59871.296,-0.54910672,0.810064,-40.5136
59871.297,-0.53991503,0.816313,-39.5616
59871.297,-0.5298875,0.802233,-40.3529
59871.298,-0.52069581,0.809788,-40.4135
59871.298,-0.51066834,0.812107,-40.7441
59871.298,-0.50147665,0.814746,-39.337
59871.299,-0.49228498,0.808943,-40.666
59871.299,-0.48225752,0.828285,-39.0238
59871.3,-0.47306582,0.805746,-41.8589
59871.314,-0.13046388,0.78227,-39.1245
59871.314,-0.12127195,0.74269,-39.3079
59871.315,-0.11124472,0.703344,-47.4134
59871.315,-0.10205278,0.782116,-39.4341
59871.315,-0.092025556,0.763834,-42.8469
59871.316,-0.082833618,0.776615,-39.8801
59871.316,-0.073641948,0.774242,-40.1976
59871.317,-0.063614726,0.746538,-40.0458
59871.317,-0.054422777,0.761823,-39.8627
59871.317,-0.044395559,0.748593,-40.4912
59871.318,-0.035203613,0.722255,-40.7571
59871.318,-0.025176391,0.736828,-40.4959
59871.319,-0.015984444,0.748057,-41.0565
59871.319,-0.006792778,0.733466,-40.4725
59871.319,0.003234722,0.7528,-40.8276
59871.32,0.012426389,0.745618,-40.9084
59871.32,0.022453612,0.753279,-41.0029
59871.321,0.031645555,0.75888,-40.9355
59871.321,0.040837225,0.761432,-39.3119
59871.321,0.050864723,0.756064,-40.0168
59871.322,0.060056388,0.741595,-40.2064
59871.322,0.070083894,0.731739,-42.4382
59871.322,0.079275556,0.733732,-40.4994
59871.323,0.089303061,0.740001,-40.2945
59871.323,0.098494723,0.72379,-40.8656
59871.324,0.10768639,0.738799,-40.7508
59871.324,0.11771389,0.720699,-40.8585
59871.324,0.12690556,0.738762,-40.8737
59871.325,0.13693306,0.73727,-41.2285
59871.325,0.14612474,0.73488,-39.8683
59871.326,0.15615223,0.72208,-40.6356
59871.326,0.1653439,0.727838,-41.2156
59871.326,0.17453556,0.718617,-40.0156
59871.327,0.18456306,0.69442,-41.2431
59871.327,0.19375473,0.689014,-44.614
59871.328,0.20712472,0.717844,-40.9202
59871.328,0.21631639,0.686007,-42.3544
59871.329,0.22634389,0.724203,-40.8409
59871.329,0.23553556,0.699711,-41.3132
59871.329,0.24556306,0.716525,-41.9322
59871.33,0.25475472,0.658251,-42.1808
59871.33,0.26394638,0.698219,-40.4538
59871.331,0.27397391,0.666496,-42.0602
59871.331,0.28316557,0.693856,-41.1369
59871.331,0.29319304,0.714507,-41.5197
59871.332,0.30238473,0.708092,-41.6198
59871.332,0.31241223,0.710447,-41.029
59871.333,0.32160389,0.701816,-41.6472
59871.333,0.33079556,0.695179,-40.7044
59871.333,0.34082305,0.707968,-41.0945
59871.334,0.35001472,0.689292,-42.2732
59871.334,0.36004221,0.692109,-42.2604
59871.334,0.36923391,0.673213,-39.3594
59871.352,0.79539752,0.713506,-43.3679
59871.353,0.80458945,0.704038,-45.3845
59871.353,0.81461668,0.696233,-45.5408
59871.353,0.82380861,0.714557,-43.5855
59871.354,0.8330003,0.706769,-45.4871
59871.354,0.84302777,0.705161,-44.9597
59871.355,0.85221946,0.724269,-41.5249
59871.355,0.86224699,0.719401,-42.4931
59871.355,0.87143862,0.727757,-40.3133
59871.356,0.88063031,0.717424,-40.4492
59871.356,0.89065778,0.728663,-39.6051
59871.357,0.89984941,0.727757,-40.454
59871.357,0.90987694,0.725546,-39.4027
59871.357,0.91906863,0.73053,-39.6502
59871.358,0.9290961,0.723531,-41.1311
59871.358,0.93828779,0.724842,-40.84
59871.359,0.94747943,0.734496,-40.5456
59871.359,0.95750695,0.72427,-40.1657
59871.359,0.96669859,0.726932,-40.1148
59871.36,0.97672606,0.728495,-39.9874
59871.36,0.98591781,0.722863,-40.8254
59871.361,0.99594527,0.731359,-39.3616
59871.361,1.005137,0.730038,-40.1007
59871.361,1.0143288,0.725245,-39.8245
59871.362,1.0243561,0.713819,-40.2376
59871.362,1.033548,0.721103,-40.1666
59871.363,1.0435753,0.722561,-41.4375
59871.363,1.0527672,0.724418,-39.0936
59871.363,1.0619588,0.716457,-39.8311
59871.364,1.0719862,0.726287,-39.7848
59871.364,1.0811781,0.707918,-40.5444
59871.365,1.0912054,0.725158,-40.2996
59871.365,1.1003972,0.72853,-40.737
59871.365,1.1104245,0.716789,-42.0228
59871.366,1.1196164,0.721381,-41.232
59871.366,1.128808,0.713138,-44.8698
59871.367,1.1388355,0.716918,-42.4804
59871.367,1.1480272,0.708076,-46.2957
59871.367,1.1580547,0.708739,-45.1471
59871.368,1.1672463,0.729334,-44.3137
59871.368,1.1772739,0.731193,-43.5362
59871.368,1.1864656,0.726845,-42.7278
59871.369,1.1956573,0.718229,-47.7846
59871.369,1.2056848,0.717771,-41.1538
59871.37,1.2148764,0.716709,-44.0506
59871.37,1.2249039,0.721281,-43.1654
59871.37,1.2340956,0.717916,-40.538
59871.371,1.2432876,0.723328,-39.2609
59871.371,1.2533147,0.710712,-42.6268
59871.372,1.2625067,0.724921,-40.2905
59871.372,1.2725339,0.715656,-45.781
59871.372,1.2817255,0.719878,-41.6872
59871.373,1.2917531,0.712056,-44.9459
59871.391,1.722095,0.583138,-42.3646
59871.391,1.7312866,0.67765,-40.2624
59871.392,1.7413142,0.719546,-40.316
59871.392,1.7505058,0.72563,-39.6677
59871.392,1.7605333,0.720448,-40.1174
59871.393,1.769725,0.724553,-39.3149
59871.393,1.778917,0.724559,-39.4164
59871.394,1.7889441,0.716338,-39.0183
59871.394,1.7981361,0.710561,-40.1231
59871.395,1.8273824,0.639533,-39.2343
59871.396,1.8365743,0.705234,-39.793
59871.396,1.8457661,0.71509,-39.4107
59871.396,1.8557936,0.713868,-40.7583
59871.397,1.8649853,0.72146,-40.3872
59871.397,1.8750125,0.715486,-40.1125
59871.397,1.8842044,0.692973,-40.9499
59871.398,1.8933961,0.71229,-39.0569
59871.398,1.9034235,0.707237,-39.6779
59871.399,1.9126153,0.713756,-39.0623
59871.399,1.9226428,0.695651,-41.8973
59871.399,1.9318346,0.705993,-38.9101
59871.4,1.941862,0.71191,-41.2081
59871.444,3.009779,0.737155,-38.7081
59871.445,3.0189705,0.743751,-39.5558
59871.445,3.0281622,0.734107,-39.8989
59871.445,3.0381896,0.733368,-39.0342
59871.446,3.0473814,0.735956,-37.8211
59871.446,3.0574088,0.739673,-38.0798
59871.447,3.0666006,0.731244,-38.5388
59871.447,3.076628,0.734164,-38.3158
59871.447,3.0858197,0.734563,-38.9272
59871.448,3.0950115,0.735975,-39.251
59871.448,3.1050389,0.732538,-39.1247
59871.449,3.1142306,0.733537,-38.4818
59871.449,3.124258,0.728938,-40.224
59871.449,3.13345,0.733755,-39.3085
59871.45,3.1426418,0.733933,-40.2211
59871.45,3.1526692,0.72355,-39.3759
59871.451,3.1618609,0.722101,-38.3487
59871.451,3.1718884,0.734164,-38.8123
59871.451,3.1810801,0.734612,-39.8365
59871.452,3.1911075,0.719719,-39.2324
59871.452,3.2002993,0.73356,-40.8982
59871.453,3.2094908,0.75804,-38.4001
59871.453,3.2195184,0.73259,-39.4968
59871.453,3.2287099,0.738969,-39.2491
59871.454,3.2387376,0.724045,-41.1387
59871.454,3.2479291,0.732497,-38.7443
59871.455,3.2579567,0.721257,-42.1893
59871.455,3.2671483,0.728219,-40.2293
59871.455,3.2763402,0.717322,-42.2097
59871.456,3.2863674,0.696432,-46.5667
59871.456,3.2955594,0.708614,-45.9319
59871.457,3.3055866,0.72808,-39.3678
59871.457,3.3147786,0.718743,-42.9218
59871.457,3.3239703,0.724265,-42.6262
59871.458,3.3339977,0.720893,-44.1837
59871.458,3.3431895,0.725464,-40.0147
59871.459,3.3532169,0.737866,-38.544
59871.459,3.3624084,0.738542,-38.7067
59871.459,3.3724363,0.734715,-39.0637
59871.46,3.3816278,0.725085,-41.134
59871.46,3.3908195,0.724027,-40.0212
59871.46,3.400847,0.730128,-39.7475
59871.461,3.4100389,0.735957,-39.4433
59871.461,3.4200661,0.729704,-38.2735
59871.462,3.4292581,0.723584,-40.9672
59871.462,3.4392853,0.729173,-44.1656
59871.462,3.4484773,0.740988,-39.0701
59871.463,3.457669,0.722009,-42.4624
59871.463,3.4676964,0.726646,-42.3901
59871.464,3.4768882,0.728444,-41.095
59871.464,3.4869156,0.731289,-38.6325
59871.464,3.4961073,0.730087,-39.3349
59871.465,3.5052989,0.724803,-38.9173
59871.476,3.7785456,0.727555,-45.5103
59871.477,3.7885728,0.735802,-44.6812
59871.477,3.7977648,0.742079,-39.1893
59871.477,3.8077919,0.738585,-41.2365
59871.478,3.8169839,0.73487,-42.8199
59871.478,3.8261755,0.744411,-41.6658
59871.479,3.8362029,0.737541,-40.7493
59871.479,3.8453946,0.733308,-46.2876
59871.479,3.855422,0.74006,-44.1749
59871.48,3.8646138,0.739678,-42.6654
59871.48,3.8746414,0.740471,-43.3731
59871.481,3.8838329,0.739991,-40.3388
59871.481,3.8930247,0.746803,-41.8375
59871.481,3.9030523,0.741872,-44.9726
59871.482,3.9122441,0.732341,-45.5619
59871.482,3.9222715,0.734167,-44.8193
59871.485,3.9874494,0.736397,-45.922
59871.485,3.9974771,0.739079,-45.6319
59871.486,4.0066686,0.73193,-46.5024
59871.486,4.0158601,0.730866,-45.8759
59871.486,4.025888,0.736439,-46.3689
59871.487,4.0350795,0.730068,-47.4094
59871.487,4.0451069,0.735035,-45.5919
59871.488,4.0542989,0.737917,-39.9472
59871.488,4.0643263,0.748647,-42.1546
59871.488,4.0735178,0.734832,-42.1021
59871.489,4.0827098,0.73737,-38.7325
59871.489,4.0927372,0.745374,-41.799
59871.49,4.1019287,0.733796,-41.3238
59871.49,4.1119561,0.74477,-42.9723
59871.49,4.1211481,0.740614,-46.9729
59871.491,4.1303396,0.743642,-43.6654
59871.491,4.140367,0.750392,-46.1633
59871.492,4.1495585,0.746745,-45.9497
59871.492,4.1595864,0.746164,-46.0194
59871.492,4.1687779,0.746345,-44.5521
59871.493,4.1788054,0.742531,-44.7306
59871.493,4.1879973,0.740507,-45.2387
59871.494,4.1971893,0.745764,-43.989
59871.494,4.2072163,0.740186,-45.7718
59871.494,4.2164083,0.73147,-45.5267
59871.495,4.2264357,0.744042,-44.2932
59871.495,4.2356272,0.751195,-43.671
59871.496,4.2456546,0.745869,-47.4483
